--Loading Data mm-dd-yyyy.txt
USE [TestDB2];
GO

ALTER TABLE Employee NOCHECK CONSTRAINT ALL;

-- Add Department data
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D22', 22, N'Sales', N'quad gravis et egreddior fecundio, et parte quis plorum et apparens trepicandor parte Sed Versus plurissimum regit,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D28', 63, N'Marketing', N'non quo rarendum cognitio, si manifestum si homo, eudis et habitatio fecundio, manifestum eggredior. quad dolorum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D44', 23, N'Human Resources', N'essit. vobis non egreddior glavans vantis. et funem. fecit. transit. bono Quad quoque et funem. et ut pars volcans quo, in quoque gravis')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D53', 48, N'Customer Service', N'quantare fecit. linguens Sed Longam, estis estis volcans funem. estum. imaginator rarendum volcans travissimantor apparens')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D56', 34, N'IT', N'quo plurissimum volcans gravis e funem. in glavans ut quad plorum travissimantor estum. e gravis quo,')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D57', 40, N'Operational', N'et e funem. et delerium. egreddior pars et quad et quantare apparens gravum apparens quad dolorum quantare non')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D6 ', 38, N'Administrative', N'quartu quad ut quad pars fecit. quantare quo, vobis trepicandor nomen non esset Id in quis plurissimum')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D75', 49, N'Production', N'quad egreddior manifestum Sed et venit. vobis nomen travissimantor quartu Sed egreddior transit. quad nomen quad')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D89', 29, N'Social', N'et travissimantor quo apparens plorum fecit, ut non Longam, et funem. plurissimum travissimantor quo')
GO
INSERT [dbo].[Department] ([DeptId], [ManagerId], [Name], [Description]) VALUES (N'D96', 55, N'TOP SECRET', N'novum nomen Versus Longam, non pladior travissimantor transit. quad dolorum dolorum egreddior in quis quad')
GO

-- Add Employee data
SET IDENTITY_INSERT [dbo].[Employee] ON 
GO
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (1, N'D75', N'Angie', N'Fuller','06-17-2010', N'Q06SSYOAPDT0T9NEZJQJAWIJDM9RS2H2SYCENK8GLUPFZFKO8YHG4',0,'06-07-2015','07-13-2010')
INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (148, N'D57', N'Leonard', N'Rosales','12-02-1996', N'HB9LX4GADZYQ89P99RDQN8T2',0,'06-08-2015','12-13-1996')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (149, N'D28', N'Bobby', N'Pollard','11-03-2010', N'RM0VQZOLEQ2IQD7LZY9XBUVQ7CGKZ08I7G6IGFN0A5TIMRID55OAJ4SWQ9OEI3LDIK',0,'04-14-2015','11-11-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (150, N'D28', N'Derrick', N'Weaver','10-09-2004', N'97P5JA8N50D4GT2FUBYY2N9R6R8H6KG01F86FZ4ZBGNWD57KGOR',1,'05-26-2015','11-06-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (151, N'D6 ', N'Bryce', N'Reese','12-29-1990', N'JM9LXYZS2QHLKD30KVZU7ZMM0DE0JN1ISEGE6N9H0CXKY1BZ27ZLOWUKZNKKJY9EPZS6XOUX',1,'09-05-2015','01-04-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (152, N'D44', N'Wade', N'Moss','06-26-1999', N'IUV12NZ1EYCOGUWJVEJ2OX12JUZ84',1,'06-07-2015','06-28-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (153, N'D96', N'Donald', N'Kramer','08-06-1992', N'DC2Y52ZIXZLI40XQ95WM19BVXKSSI7NRXCKZLHOTKCGJH6S15SLUBH04171L960QCULSFX4',1,'05-02-2015','08-23-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (154, N'D57', N'Roger', N'Haas','07-18-2015', N'H22PSREQRRMPLTFF',1,'06-16-2015','07-25-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (155, N'D22', N'Abigail', N'Mueller','04-30-2005', N'GYEF3KDCQ7NL0L8OTC9FBB9TATHKA4IF5GZZPCDIPC2KQ5R6E1',0,'11-21-2015','05-17-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (156, N'D44', N'Sherri', N'Crosby','06-16-1993', N'G5004OL5A2T2MO8',0,'03-01-2016','06-19-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (157, N'D89', N'Tammie', N'Arroyo','08-26-2007', N'JL9YGZQPY9P241B68B195FUA473FWAGVIQ7K43CHFA2',1,'05-05-2015','08-27-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (158, N'D57', N'Rosemary', N'Caldwell','04-02-1991', N'YJ08QMTA',0,'03-18-2016','04-14-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (159, N'D6 ', N'Joni', N'Ferrell','02-13-2008', N'Z93RYU9VATNTTJEUR15ZKTVDYBK',1,'02-02-2015','02-14-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (160, N'D57', N'Candice', N'Calderon','12-05-2004', N'VP9H58JG3S683L4GE250LEZLNB25EQSM910LK6NLZYQYUWWYPEZW6KLGQNTU',0,'03-01-2016','12-05-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (161, N'D96', N'Sergio', N'Taylor','09-13-1995', N'E1D0JZ1LIW8FJ0NN0RQE4F0RWFOGJVWCSFKWDYAXUC6HQGNKYTPW2F1Z1M34BL2',0,'02-14-2015','09-28-1995')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (162, N'D22', N'Lori', N'Ewing','03-23-2013', N'ZWM3FQA2GTKR8I0FS4HQ509DEL',0,'03-29-2015','04-11-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (163, N'D57', N'Jennifer', N'Ryan','02-25-2004', N'QU6L9AJIUU',1,'05-10-2015','02-26-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (164, N'D28', N'Roland', N'Li','02-05-2001', N'47INF9V9QILOB63BHYN8PUVK8A8AGP05K9Z',1,'12-31-2015','02-21-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (165, N'D89', N'Geoffrey', N'Rollins','12-01-2002', N'8IL0I4UC45VE5Z1J7MTABYE50KT1IG317T3ZDMQLZJF2ET5HNGYYGP',0,'10-12-2015','12-30-2002')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (166, N'D6 ', N'Randy', N'Stevens','01-19-1998', N'A3FZ',0,'01-13-2016','01-20-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (167, N'D57', N'Kelli', N'Craig','05-29-2001', N'BTTO',0,'10-16-2015','06-17-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (168, N'D57', N'Andres', N'Navarro','11-27-1993', N'T7CV26KV8BSIBQ7FBD2H5LIVTVXNSA5QQ1LLTLLAD37E5RSORIZGQ6W7PG268X2X52RA4LMP',0,'10-12-2015','11-28-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (169, N'D6 ', N'Dianna', N'Baldwin','04-19-2004', N'S42D3Q139VAAPZK5E',0,'03-03-2015','05-17-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (170, N'D96', N'Johnathan', N'Gamble','08-07-2012', N'CJF1G09',0,'02-24-2015','08-12-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (171, N'D53', N'Scotty', N'Gill','10-03-2005', N'3ZHJ6W9OY2TTLQ13Z1SNG375QP96CQN13VN1LPPD000HBLAMIB2F8MRZRB',0,'01-27-2016','10-11-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (172, N'D22', N'Anne', N'Rush','09-02-1991', N'GN3C8ESPP3ZHA',0,'01-06-2016','09-13-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (173, N'D56', N'Ramona', N'Greene','03-09-2003', N'EMG3QU5ENO1N8TH4NA9V9QXNR3IVLIITS3TZAW1HO1ZFBL6Y7LF',1,'07-14-2015','03-17-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (174, N'D56', N'Rick', N'Higgins','12-12-2007', N'7E2NPTBNB9T457U5ZHUR8S7',1,'02-12-2015','01-09-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (175, N'D44', N'Jeanine', N'Morrison','05-25-2000', N'QIC6XJOZ2TLD059HKE5F8V94Q0ZQROGF7VX7G4QRLT1BLG4T7C6UNRZV88GW',0,'08-17-2015','06-11-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (176, N'D22', N'Katherine', N'Mathews','04-13-1997', N'X8ED665820GODTEUYI9W5IEIMRFW2Z8O',0,'02-20-2015','05-11-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (177, N'D44', N'Helen', N'Roth','06-10-1992', N'7NKNYEAYL5CP',1,'12-03-2015','06-11-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (178, N'D28', N'Darnell', N'Kline','05-24-1991', N'9XK1AP7ZFFUVQFQ962RSU66T6Z4ZXKC2SGIHB1OJGUR7QR7ZJPE2KXA3RRUAL81V',0,'05-27-2015','06-21-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (179, N'D56', N'Herman', N'Newman','09-27-2013', N'S2AX9X5E8B0EY2ES4F859IV5EQK6EX8SW4YOX2AR9OBMAOSOFHGSTPT974IIDYZB27IU4',1,'10-17-2015','10-07-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (180, N'D56', N'Allan', N'Mc Lean','03-09-2007', N'V24GWK69VQYWRWGFY6BOH',1,'02-09-2016','03-23-2007')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (181, N'D22', N'Leslie', N'Knight','11-03-2004', N'KREAO0J25YJPME',1,'05-08-2015','11-15-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (182, N'D53', N'Douglas', N'Dougherty','09-18-1998', N'DT83Y8RKH73UM9BIF82ID2LW5',1,'12-26-2015','09-24-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (183, N'D89', N'Marcy', N'Fox','05-19-2000', N'SL0C1A2SLD3LIKS7W2L6W',0,'02-27-2015','05-19-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (184, N'D44', N'Angie', N'Burton','06-04-2010', N'UF4HJVAB7CX9G6',0,'12-29-2015','06-14-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (185, N'D96', N'Lindsay', N'Sexton','11-04-2010', N'56SRUNYFUQIP55IAZTZQK7KR7HA5RN94',0,'05-25-2015','11-13-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (186, N'D22', N'Kirk', N'Fuller','04-30-1992', N'MRWSF15V09Q0645O1YFGFZXM1KDD',0,'10-30-2015','05-25-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (187, N'D57', N'Helen', N'Calhoun','06-20-2004', N'O6GE2IDMHKRTVKY',1,'01-21-2016','07-19-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (188, N'D96', N'Guadalupe', N'Pearson','01-14-1995', N'Q1C4HPPTN7NUAR',1,'02-06-2015','01-26-1995')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (189, N'D96', N'Autumn', N'Cardenas','09-24-1994', N'OR3B2AM3MS',1,'06-06-2015','10-15-1994')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (190, N'D22', N'Lynn', N'Henderson','12-20-2002', N'KDOMKFYTBJ09BZHNQVVJCQO22R8VJ4XQBE4B50N7VGFCOISCLMV7Q9PTOLKS73A6LAXWU5I',1,'03-02-2016','01-13-2003')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (191, N'D6 ', N'George', N'Ibarra','10-03-2001', N'8ONVACEJZVAW8QZ2PBMJ',1,'09-23-2015','10-26-2001')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (192, N'D44', N'Daphne', N'Hill','09-28-1997', N'U0S68RDKVIF45Y2LUIC70TBSDYUAV7IIYAEOVO1L0Z',0,'03-01-2016','09-30-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (193, N'D96', N'Ira', N'Keith','01-31-1991', N'DUR3RXHUSABF1OZSAW3PNZX5UKEP5GQ71PYYMU3DECQ7NVDZWVRPXAGDXL97IRPBK3D',0,'02-24-2016','02-17-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (194, N'D57', N'Lawanda', N'Webster','06-04-1995', N'Q06GTPBB9PIZ7FT9P1AR8L11LVVMNENJH19VPAW7Y4372A03YF',0,'03-02-2015','06-13-1995')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (195, N'D75', N'Troy', N'Martinez','02-08-1993', N'JTM35Z4VXUONV1YH65XJE42S4HTYB',1,'11-03-2015','02-24-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (196, N'D53', N'Felix', N'Villanueva','06-23-2008', N'RO8S4PVX4',0,'01-01-2016','07-03-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (197, N'D56', N'Maurice', N'Gardner','05-10-1992', N'LFYDAH8',0,'01-26-2015','05-26-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (198, N'D96', N'Blake', N'Cummings','03-16-1992', N'4STX1V6ERUZN56J120F3X8M810YZ6OHM9NUI1TMCLQY0YGQEVWAA248V6LW0W78',0,'03-21-2015','04-06-1992')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (199, N'D89', N'Jon', N'Reeves','10-09-1997', N'CCEIC1Z9D2H7AL9L9K39E7K4FYBGXMFDHWOM282UW1WZN1KLBBRC4YN4S93DQJBRN4PEWNI',1,'09-19-2015','10-30-1997')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (200, N'D96', N'Carlton', N'Barker','12-31-2005', N'H9CDBKHEEQ4MU28I8KTS5P3DP5CIB6OOSQVVMAT7SPZZFPWKV65CTQVS5ZN58Y272FU47DWXQ',1,'07-20-2015','01-27-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (201, N'D44', N'Edgar', N'Meza','08-20-2004', N'ZGQ4XZ8SN40BU1U3QNMNZUMRXZVSC',1,'11-17-2015','08-21-2004')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (202, N'D28', N'Gena', N'Wagner','01-13-1999', N'A8M7RF201OWGBY6RLS94M8A3M4UY7Y4GF4USP',0,'01-05-2016','02-04-1999')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (203, N'D89', N'Monte', N'Jacobs','11-13-2008', N'9F1PMYQJJOL5E2I8V1XJLML3T2K',0,'04-08-2015','11-26-2008')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (204, N'D28', N'Tina', N'Hatfield','06-28-2014', N'064E2YJU3XMCC3L6D1J1Y79SU51NUXVJEAIDK63GJ',0,'02-18-2015','07-01-2014')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (205, N'D89', N'Natasha', N'Rangel','04-07-2015', N'5XEL6I1EQSIJHTWBJWWV0513Y1',1,'07-29-2015','04-26-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (206, N'D57', N'Otis', N'Monroe','07-28-2015', N'7L6X3HB1BD9ZJMF630VTPG8M7JNNZWBM',0,'11-29-2015','08-22-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (207, N'D75', N'Brooke', N'Holmes','07-18-2012', N'XTTKUF16RKXAXC9LZY238VQDJQJTO2F2MUMSMM8LTNXWBCA7E10Y8JW22F04V7HP5',1,'11-30-2015','08-11-2012')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (208, N'D57', N'Diane', N'Graham','11-25-2000', N'N2QGYCPH9L',1,'02-23-2016','12-13-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (209, N'D53', N'Lorraine', N'Lester','02-22-2005', N'U17FC',1,'03-21-2015','03-13-2005')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (210, N'D96', N'Geoffrey', N'Moses','01-17-1998', N'M1HU2XJQ6M4PM58QGO7GX3N8QAA47DSOIRVNO0L47Q',1,'01-29-2016','02-05-1998')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (211, N'D22', N'Joanne', N'Delgado','01-07-1991', N'QLSNGP4LJ8WIJE83',0,'10-01-2015','01-08-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (212, N'D6 ', N'Rickey', N'Webb','04-05-2006', N'NEJSTF6U9K1F329',0,'03-30-2015','04-08-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (213, N'D28', N'Richard', N'Perez','10-04-1993', N'AXNYNUF2S9GM9C9FXSHS7ZW5LS6425F5MB8GL55SZG0KZKLXBLIBKGZB0HDUO',1,'03-08-2016','10-05-1993')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (214, N'D28', N'Roy', N'Lawrence','12-07-1990', N'0MUAZX4SURNPTRZC6068TGM4L6BWG4RA3OGDPPKNTJRQNUN8COACO',0,'06-03-2015','12-23-1990')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (215, N'D56', N'Lindsay', N'Zimmerman','02-01-1990', N'HJZPOTL7CQ0CM4BLMHGIFAPVGQI3KRTFMN7WD00Q2M',1,'03-24-2015','02-19-1990')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (216, N'D57', N'Jamie', N'Dunn','03-27-2013', N'1QB8IXQ1TV516T39YAIMKWKQYXE8MHPGT3O55H05UQ0JHM139R1FJZM45LALJ',1,'10-26-2015','04-04-2013')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (217, N'D44', N'Stuart', N'Mayer','11-05-2002', N'FC6O835Y4HADSTW18CWBYVF9XUGJZJ7EMBAND',0,'05-20-2015','11-23-2002')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (218, N'D53', N'Robert', N'Cherry','12-22-2009', N'EXXAMK566S84CY',1,'01-31-2015','01-11-2010')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (219, N'D44', N'Latisha', N'Schaefer','07-04-2006', N'8JKWWQEMMZK9VRGJ8NFXYDN',1,'08-10-2015','07-11-2006')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (220, N'D75', N'Shelia', N'English','08-02-2000', N'V4RNNAV69PDSQQH20BBB2A9EP90GX0QUVC1RZQZB3D05DOSH6CXN2B5KUC',0,'08-08-2015','08-05-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (221, N'D28', N'Jill', N'Robbins','10-30-2009', N'DA',0,'03-12-2016','10-31-2009')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (222, N'D6 ', N'Christie', N'Robinson','05-16-1996', N'98ZJWEPP3ACZ8O9310HIAK33RK6GWMRL1P4S6TSESG9NA',0,'03-23-2016','05-23-1996')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (223, N'D57', N'Aisha', N'Huber','06-04-2015', N'3GBQBYWR4P5VRC78SHIQXIKHX782QTAFSOGP56BTOALFMB2F6JNS4K6LWTT3PT0AEP23',1,'09-09-2015','06-13-2015')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (224, N'D6 ', N'Marla', N'Schultz','05-02-1991', N'I2M5P1M',0,'05-08-2015','05-05-1991')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (225, N'D53', N'Janet', N'Fleming','11-05-2000', N'5VM5T',0,'04-01-2015','11-17-2000')

INSERT [dbo].[Employee] ([EmployeeId], [DeptId], [FirstName], [LastName], [HireDate], [Position], [Active], [CreatedDate], [ModifiedDate]) VALUES (226, N'D22', N'Marla', N'Gross','01-06-1998', N'65IB8HV',1,'09-01-2015','01-12-1998')

